City Name,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Fort Nelson,58.81,-122.7,42.8,100,40,4.0,CA,1601788722
Kavaratti,10.57,72.64,84.2,70,40,5.82,IN,1601788635
Longyearbyen,78.22,15.64,35.6,93,75,0.51,SJ,1601788722
Norman Wells,65.28,-126.83,41.0,93,75,4.7,CA,1601788723
Miami,25.77,-80.19,84.0,78,90,5.82,US,1601788115
Araruama,-22.87,-42.34,72.45,94,100,13.98,BR,1601788529
Ahipara,-35.17,173.17,61.41,60,0,3.67,NZ,1601788723
Tuktoyaktuk,69.45,-133.04,42.8,93,90,9.17,CA,1601788702
Kumluca,36.37,30.29,78.33,28,0,5.59,TR,1601788521
New Norfolk,-42.78,147.06,50.0,92,100,2.48,AU,1601788724
Kostomuksha,64.57,30.58,42.28,96,96,6.24,RU,1601788724
Zhezkazgan,47.8,67.71,55.4,54,83,4.47,KZ,1601788725
Kasongo-Lunda,-6.47,16.82,71.67,87,51,2.01,CD,1601788725
Khatanga,71.97,102.5,25.5,98,99,13.73,RU,1601788725
Charlestown,-32.95,151.67,86.0,33,0,11.41,AU,1601788714
Rikitea,-23.12,-134.97,73.65,78,2,17.43,PF,1601788726
Kenitra,34.26,-6.58,51.8,87,0,3.36,MA,1601788726
Shahr-e Kord,32.33,50.86,51.8,40,40,0.96,IR,1601788726
Talnakh,69.49,88.4,26.6,92,0,20.13,RU,1601788726
Arraial do Cabo,-22.97,-42.03,72.61,93,94,20.13,BR,1601788726
Camalú,30.85,-116.07,73.47,53,0,2.21,MX,1601788727
Lindi,-10.0,39.72,80.37,66,80,2.24,TZ,1601788727
Innisfail,-17.53,146.03,76.3,62,84,11.86,AU,1601788512
Berdigestyakh,62.1,126.7,37.38,74,0,7.34,RU,1601788727
Ushuaia,-54.8,-68.3,41.0,80,75,5.82,AR,1601788515
Rundu,-17.93,19.77,70.9,22,78,3.74,NA,1601788728
Iguape,-24.71,-47.56,67.5,91,100,13.8,BR,1601788591
Kavieng,-2.57,150.8,84.38,74,86,8.99,PG,1601788728
Yellowknife,62.46,-114.35,50.0,87,20,10.29,CA,1601788451
Pisco,-13.7,-76.22,61.0,77,15,2.24,PE,1601788729
Taltal,-25.4,-70.48,56.84,68,54,2.89,CL,1601788729
Beian,63.66,9.57,55.4,71,1,19.46,NO,1601788729
Sørland,67.67,12.69,51.87,77,0,16.67,NO,1601788730
Sukaraja,-7.45,108.19,80.76,72,89,6.78,ID,1601788730
Tiksi,71.69,128.87,25.32,95,87,19.62,RU,1601788730
Houma,29.6,-90.72,57.2,93,1,2.06,US,1601788486
Provideniya,64.38,-173.3,35.82,81,73,10.11,RU,1601788731
Naze,28.37,129.48,86.0,66,20,9.17,JP,1601788731
Saint-Philippe,-21.36,55.77,75.2,69,90,9.17,RE,1601788731
Tabory,58.52,64.55,35.91,81,19,10.22,RU,1601788731
Bonthe,7.53,-12.51,76.64,86,100,5.55,SL,1601788731
Tuatapere,-46.13,167.68,48.99,96,100,3.0,NZ,1601788697
Anadyr,64.75,177.48,35.6,74,90,11.18,RU,1601788732
Kentau,43.52,68.51,63.36,28,0,3.44,KZ,1601788732
Yatou,37.15,122.38,60.58,56,96,21.0,CN,1601788733
Vaini,-21.2,-175.2,75.2,88,75,10.29,TO,1601788733
Lukulu,-14.37,23.24,70.66,28,12,3.02,ZM,1601788733
Ostrovnoy,68.05,39.51,41.85,89,41,17.45,RU,1601788733
Novyye Gorki,56.73,41.06,49.8,83,17,5.55,RU,1601788733
Fortuna,40.6,-124.16,57.0,100,90,3.36,US,1601788734
Nicoya,10.15,-85.45,73.83,92,95,1.14,CR,1601788734
Shingū,33.73,135.98,77.0,73,75,4.7,JP,1601788734
Iqaluit,63.75,-68.51,32.0,95,90,10.29,CA,1601788723
Biu,10.61,12.19,69.69,83,16,2.48,NG,1601788735
Coyhaique,-45.58,-72.07,37.4,59,22,8.05,CL,1601788441
Dagana,16.52,-15.51,85.03,53,0,11.9,MR,1601788735
Ust-Kuyga,70.02,135.6,35.62,73,66,13.49,RU,1601788735
Niksar,40.59,36.95,62.19,61,50,1.28,TR,1601788736
Snezhnogorsk,69.19,33.25,41.0,93,40,4.47,RU,1601788736
Abhā,18.22,42.51,60.8,26,0,9.66,SA,1601788736
Hilo,19.73,-155.09,78.8,74,1,4.7,US,1601788703
Pangody,65.85,74.49,33.48,87,94,21.85,RU,1601788736
Faya,18.39,42.45,60.8,26,0,9.06,SA,1601788737
Hobart,-42.88,147.33,50.0,93,75,12.75,AU,1601788479
Senno,59.53,33.92,50.25,81,97,9.48,RU,1601788737
Tasiilaq,65.61,-37.64,32.0,83,88,2.24,GL,1601788738
Upernavik,72.79,-56.15,27.91,92,39,5.37,GL,1601788738
Mount Darwin,-16.77,31.58,70.48,53,72,7.11,ZW,1601788738
Te Anau,-45.42,167.72,58.41,75,96,7.0,NZ,1601788709
Deniliquin,-35.53,144.97,91.06,23,81,19.66,AU,1601788739
Butaritari,3.07,172.79,81.5,70,100,6.06,KI,1601788739
Zhumadian,32.98,114.03,64.11,37,98,15.3,CN,1601788739
Tura,25.52,90.22,86.02,72,87,2.08,IN,1601788739
Alofi,-19.06,-169.92,77.0,88,100,14.99,NU,1601788707
George Town,5.41,100.34,86.0,74,40,4.7,MY,1601788702
Jamestown,42.1,-79.24,45.0,87,20,3.36,US,1601788508
Micheweni,-4.97,39.83,78.76,73,36,6.55,TZ,1601788740
Souillac,-20.52,57.52,77.0,73,75,10.29,MU,1601788740
Osakarovka,50.56,72.57,53.35,58,100,7.96,KZ,1601788741
Tanout,14.97,8.89,79.63,59,4,8.3,NE,1601788741
Lüderitz,-26.65,15.16,54.48,78,0,5.68,NA,1601788741
Ilulissat,69.22,-51.1,30.2,80,100,3.36,GL,1601788559
Dikson,73.51,80.55,34.48,97,100,26.87,RU,1601788722
Saldanha,-33.01,17.94,48.2,87,0,1.12,ZA,1601788706
Avarua,-21.21,-159.78,75.2,78,51,8.05,CK,1601788742
Rāwatsār,29.28,74.38,92.52,13,0,3.0,IN,1601788742
Hong Kong,22.29,114.16,86.0,66,21,8.01,HK,1601788735
Geraldton,-28.77,114.6,69.8,32,40,16.11,AU,1601788743
Port Hedland,-20.32,118.57,78.8,9,51,20.8,AU,1601788743
Ruhengeri,-1.5,29.64,63.66,64,25,0.72,RW,1601788743
Carutapera,-1.2,-46.02,78.37,81,18,7.54,BR,1601788743
Tripoli,32.88,13.19,77.79,83,67,11.65,LY,1601788510
Mastic Beach,40.77,-72.85,48.2,87,1,3.36,US,1601788744
Gerede,40.8,32.2,52.5,48,57,2.91,TR,1601788744
Ancud,-41.87,-73.82,39.0,93,0,4.7,CL,1601788744
Huacho,-11.11,-77.61,61.68,86,79,9.01,PE,1601788744
Makkah al Mukarramah,21.43,39.83,86.43,42,0,5.95,SA,1601788745
Ascoli Piceno,42.85,13.57,59.0,63,8,1.99,IT,1601788745
Lata,40.16,-8.33,61.0,91,68,5.99,PT,1601788745
Ust'-Ilimsk,58.0,102.66,37.63,82,96,5.91,RU,1601788470
Berthierville,46.08,-73.18,46.99,93,90,2.95,CA,1601788474
Hofn,64.25,-15.21,47.82,88,100,4.45,IS,1601788699
Flinders,-34.58,150.86,80.01,57,13,5.99,AU,1601788746
São Filipe,14.9,-24.5,77.88,79,16,9.35,CV,1601788746
Chokurdakh,70.63,147.92,33.22,87,87,11.3,RU,1601788746
Ajdabiya,30.76,20.23,80.85,27,0,15.97,LY,1601788747
San Patricio,19.22,-104.7,76.66,82,0,3.87,MX,1601788706
Mandera,3.94,41.87,78.84,66,89,10.18,KE,1601788747
Petropavlovsk-Kamchatskiy,53.05,158.65,51.8,76,74,13.42,RU,1601788747
Ternate,0.8,127.4,84.02,73,70,9.42,ID,1601788747
Baijiantan,45.63,85.18,60.73,31,41,2.55,CN,1601788748
Kalevala,65.2,31.17,42.35,96,100,6.17,RU,1601788748
Bambous Virieux,-20.34,57.76,77.0,73,75,10.29,MU,1601788748
Udachny,66.42,112.4,32.0,94,90,6.71,RU,1601788748
Mount Gambier,-37.83,140.77,51.8,93,90,18.34,AU,1601788741
Ribeira Grande,38.52,-28.7,69.55,82,86,12.12,PT,1601788749
Dudinka,69.41,86.18,26.6,92,100,20.13,RU,1601788749
Kismayo,-0.36,42.55,79.88,77,100,12.53,SO,1601788749
Kananga,-5.9,22.42,70.83,93,100,1.23,CD,1601788749
Nanortalik,60.14,-45.24,35.65,84,100,6.35,GL,1601788750
Meulaboh,4.14,96.13,86.92,59,99,9.31,ID,1601788750
Isangel,-19.55,169.27,78.8,69,40,11.41,VU,1601788750
Māngrol,21.12,70.12,83.91,70,32,8.61,IN,1601788750
Aklavik,68.22,-135.01,44.6,81,90,4.7,CA,1601788695
Mahébourg,-20.41,57.7,77.0,73,75,10.29,MU,1601788693
Oistins,13.07,-59.53,80.6,83,75,17.22,BB,1601788751
Scottsbluff,41.87,-103.67,50.0,46,1,3.74,US,1601788751
Petauke,-14.24,31.33,75.47,30,0,5.99,ZM,1601788752
Boma,7.08,-2.17,69.39,97,100,1.77,GH,1601788752
Mount Hagen,-5.86,144.23,78.57,37,50,4.12,PG,1601788752
Poum,-20.23,164.02,73.26,69,0,15.03,NC,1601788752
Port Alfred,-33.59,26.89,62.53,83,29,12.88,ZA,1601788753
Horsham,51.06,-0.33,48.99,93,75,12.75,GB,1601788753
Nishihara,26.18,127.76,86.0,62,20,12.75,JP,1601788753
Matagami,49.75,-77.63,33.8,80,90,2.24,CA,1601788753
East London,-33.02,27.91,62.6,93,90,3.36,ZA,1601788604
São João da Barra,-21.64,-41.05,75.0,86,99,14.63,BR,1601788754
Yen Bai,21.7,104.87,85.73,74,80,2.01,VN,1601788468
Padang,-0.95,100.35,85.24,64,77,4.92,ID,1601788754
Nuuk,64.18,-51.72,28.4,92,30,5.82,GL,1601788754
Kieta,-6.22,155.63,84.31,65,5,6.2,PG,1601788755
Semey,50.41,80.23,51.8,57,53,4.47,KZ,1601788529
Nuevo Progreso,23.17,-97.95,69.01,67,0,1.59,MX,1601788755
Ayan,56.45,138.17,50.04,56,100,12.39,RU,1601788755
Victoria Point,-27.58,153.3,77.0,48,6,3.0,AU,1601788755
Esperance,-33.87,121.9,53.6,87,75,20.8,AU,1601788756
Benton,36.33,-94.33,55.4,71,1,8.05,US,1601788756
Taku,39.02,117.65,60.8,23,0,20.13,CN,1601788756
Atar,20.52,-13.05,81.34,29,0,6.04,MR,1601788756
Rahā,26.23,92.52,86.41,75,13,3.94,IN,1601788757
Nikolskoye,59.7,30.79,53.01,81,77,8.95,RU,1601788706
Bilma,18.69,12.92,85.64,18,1,6.26,NE,1601788757
Lavrentiya,65.58,-171.0,35.8,83,96,14.25,RU,1601788757
Abu Dhabi,24.47,54.37,86.0,70,0,3.36,AE,1601788667
Vila do Maio,15.13,-23.22,77.0,73,75,9.17,CV,1601788564
Berlevåg,70.86,29.09,44.42,83,32,14.38,NO,1601788714
Muros,42.78,-9.06,55.99,88,77,16.24,ES,1601788758
Deputatsky,69.3,139.9,26.4,93,48,11.01,RU,1601788759
Axum,14.12,38.72,63.23,66,0,11.65,ET,1601788759
Carauari,-4.88,-66.9,73.06,93,75,1.88,BR,1601788759
Havelock,34.88,-76.9,64.0,72,75,12.75,US,1601788759
Kars,40.6,43.09,44.6,81,39,1.12,TR,1601788760
Viedma,-40.81,-63.0,36.72,81,7,9.64,AR,1601788760
Lompoc,34.64,-120.46,64.4,82,1,4.7,US,1601788760
Dourbali,11.81,15.86,79.68,66,81,3.87,TD,1601788760
Fairbanks,64.84,-147.72,48.2,66,90,5.82,US,1601788710
Tual,-5.67,132.75,78.44,88,100,13.82,ID,1601788761
Saint Paul Harbor,57.79,-152.41,46.4,75,1,9.17,US,1601788586
San Clemente,33.43,-117.61,72.0,89,0,1.25,US,1601788761
Asău,46.43,26.4,53.01,89,46,2.57,RO,1601788761
Tongliao,43.61,122.27,54.93,42,23,16.6,CN,1601788762
Torbay,47.67,-52.73,55.99,93,90,8.05,CA,1601788762
Mayo,38.89,-76.51,55.4,100,1,5.82,US,1601788762
Romny,50.75,33.47,53.8,68,60,11.86,UA,1601788738
Nova Granada,-20.53,-49.31,78.71,61,18,11.97,BR,1601788762
Adrar,20.5,-10.07,82.11,47,98,12.3,MR,1601788763
Vazante,-17.99,-46.91,70.3,30,0,1.92,BR,1601788763
Moss Point,30.41,-88.53,57.99,93,1,7.56,US,1601788763
Ligayan,4.65,119.47,84.61,71,87,6.82,PH,1601788764
Vostok,46.49,135.88,56.39,45,0,3.29,RU,1601788764
Lagoa,39.05,-27.98,69.67,85,97,14.85,PT,1601788764
Ambilobe,-13.2,49.05,82.69,52,42,5.26,MG,1601788764
Arrianá,41.08,25.7,59.0,93,20,1.14,GR,1601788765
Touros,-5.2,-35.46,71.6,100,75,5.82,BR,1601788765
Saskylakh,71.92,114.08,24.73,95,100,16.2,RU,1601788765
Neuquén,-38.95,-68.06,46.4,65,75,9.17,AR,1601788765
Narsaq,60.92,-46.05,30.2,68,99,2.24,GL,1601788766
Cherskiy,68.75,161.3,33.42,83,54,8.93,RU,1601788716
Amuntai,-2.42,115.25,99.19,32,100,0.83,ID,1601788766
George Town,5.41,100.34,86.0,74,40,4.7,MY,1601788702
Ciudad Mante,22.73,-98.97,73.0,89,0,2.82,MX,1601788766
Cubarral,3.79,-73.84,70.63,64,69,4.85,CO,1601788510
Halden,59.12,11.39,57.2,82,99,19.46,NO,1601788767
Charters Towers,-20.1,146.27,84.04,31,36,19.08,AU,1601788767
Kushnarenkovo,55.1,55.35,39.2,80,15,13.42,RU,1601788767
Quirinópolis,-18.45,-50.45,81.28,23,2,2.68,BR,1601788726
Codrington,-38.27,141.97,56.44,92,100,13.35,AU,1601788768
Pathein,16.78,94.73,81.14,86,100,7.76,MM,1601788768
Paamiut,61.99,-49.67,34.07,85,18,14.92,GL,1601788768
Xucheng,20.35,110.13,89.6,66,40,2.24,CN,1601788769
Lyngseidet,69.58,20.22,41.0,86,0,11.41,NO,1601788769
Sechura,-5.56,-80.82,64.6,80,92,11.34,PE,1601788770
Pitimbu,-7.47,-34.81,75.2,88,75,6.93,BR,1601788770
Dongying,37.46,118.49,61.32,30,31,14.94,CN,1601788770
Santa Rosa,14.31,121.11,95.0,52,40,5.82,PH,1601788479
Constitución,-35.33,-72.42,44.02,71,11,8.08,CL,1601788771
Hasaki,35.73,140.83,81.0,64,75,2.24,JP,1601788771
Kralendijk,12.15,-68.27,82.4,78,90,12.75,BQ,1601788771
De-Kastri,51.47,140.78,49.19,84,100,12.68,RU,1601788772
Três Lagoas,-20.75,-51.68,80.85,52,24,13.31,BR,1601788772
Dunedin,-45.87,170.5,52.0,79,100,3.0,NZ,1601788626
Laas,46.62,10.7,50.0,100,90,5.82,IT,1601788772
Zelenoborsk,61.47,64.03,35.19,82,0,10.22,RU,1601788773
Palmer,42.16,-72.33,42.01,100,1,2.28,US,1601788773
Pucara,-15.98,-71.46,39.79,69,1,2.01,PE,1601788773
Chebenki,51.93,55.71,48.2,76,3,13.42,RU,1601788773
Caravelas,-17.71,-39.25,73.18,88,3,8.01,BR,1601788773
Broome,42.25,-75.83,42.01,80,20,2.42,US,1601788774
Vanavara,60.34,102.28,38.32,90,98,7.9,RU,1601788714
Pleasanton,37.66,-121.87,73.99,35,1,3.78,US,1601788774
Woodend,-43.32,172.67,59.0,58,56,12.75,NZ,1601788774
Red Bluff,40.18,-122.24,73.4,46,90,2.3,US,1601788775
Vao,-22.67,167.48,69.94,77,20,26.69,NC,1601788775
Puerto Baquerizo Moreno,-0.9,-89.6,65.75,85,12,11.43,EC,1601788714
Pacific Grove,36.62,-121.92,60.8,82,1,6.93,US,1601788776
Kaitangata,-46.28,169.85,52.0,83,100,5.01,NZ,1601788696
Zhirnovsk,50.98,44.77,55.92,59,100,7.78,RU,1601788776
Rocha,-34.48,-54.33,45.21,86,46,5.95,UY,1601788748
Jinxiang,22.86,115.7,88.0,73,40,3.0,CN,1601788776
Jatai,-17.88,-51.71,78.58,25,2,3.98,BR,1601788777
Nador,35.17,-2.93,64.4,63,0,8.05,MA,1601788601
Smirnykh,49.75,142.83,56.53,59,1,13.71,RU,1601788778
Meadow Lake,34.8,-106.54,62.6,29,1,20.8,US,1601788778
Cabo San Lucas,22.89,-109.91,80.6,61,5,5.82,MX,1601788778
Mar del Plata,-38.0,-57.56,42.01,75,20,8.05,AR,1601788748
Great Falls,47.5,-111.3,57.0,43,1,9.17,US,1601788779
São Miguel do Araguaia,-13.28,-50.16,81.23,25,0,3.11,BR,1601788779
Pevek,69.7,170.31,33.55,91,98,13.33,RU,1601788779
Katsuura,35.13,140.3,78.01,65,100,4.32,JP,1601788780
Mahibadhoo,3.78,72.97,80.85,79,100,12.48,MV,1601788780
Camacha,33.08,-16.33,68.0,88,40,10.29,PT,1601788780
Sawākin,19.11,37.33,84.72,68,0,4.12,SD,1601788781
Sitka,57.05,-135.33,51.8,87,90,5.82,US,1601788781
San Rafael,-34.62,-68.33,43.81,70,99,12.1,AR,1601788781
Severo-Kuril'sk,50.68,156.12,49.3,78,100,9.1,RU,1601788699
Winneba,5.35,-0.62,77.0,94,75,5.82,GH,1601788782
Manaure,11.78,-72.44,81.41,77,77,2.77,CO,1601788563
Coquimbo,-29.95,-71.34,51.8,76,91,6.93,CL,1601788782
Sinnamary,5.38,-52.95,78.87,88,28,9.64,GF,1601788782
Petatlán,17.52,-101.27,75.87,81,70,3.33,MX,1601788783
Rena,61.13,11.36,46.0,97,100,10.0,NO,1601788783
Zhoucheng,35.91,116.31,62.76,28,100,12.75,CN,1601788783
Kyaikto,17.3,97.02,80.51,88,100,4.36,MM,1601788783
Salalah,17.02,54.09,77.0,69,20,4.7,OM,1601788783
Borba,-4.39,-59.59,77.25,81,1,2.55,BR,1601788784
Raudeberg,61.99,5.14,54.0,71,46,8.66,NO,1601788784
Merauke,-8.47,140.33,84.07,76,40,18.7,ID,1601788784
Rājnagar,24.88,79.92,87.28,48,100,3.09,IN,1601788784
Dolisie,-4.2,12.67,72.97,90,66,3.18,CG,1601788784
Río Gallegos,-51.62,-69.22,48.2,49,83,2.24,AR,1601788785
Mufumbwe,-13.68,24.8,68.72,30,0,6.6,ZM,1601788785
Richards Bay,-28.78,32.04,67.46,93,100,12.01,ZA,1601788785
Takaka,-40.85,172.8,61.0,77,98,7.0,NZ,1601788703
Arlit,18.74,7.39,86.25,44,93,4.79,NE,1601788786
Cidreira,-30.18,-50.21,57.45,88,100,19.39,BR,1601788786
Barentu,15.11,37.59,77.27,34,3,3.62,ER,1601788786
Jérémie,18.65,-74.12,79.47,75,92,5.06,HT,1601788787
Samarai,-10.62,150.67,78.4,86,97,18.54,PG,1601788787
Mountrath,53.0,-7.47,46.0,85,89,13.0,IE,1601788787
Bambanglipuro,-7.95,110.28,83.7,66,100,17.16,ID,1601788787
Acarí,-15.43,-74.62,62.33,70,84,4.94,PE,1601788788
Sept-Îles,50.2,-66.38,41.0,74,75,4.7,CA,1601788734
Laguna,38.42,-121.42,72.0,60,1,4.45,US,1601788788
Glendive,47.11,-104.71,42.8,70,1,6.64,US,1601788788
Mitú,1.2,-70.17,71.87,96,49,1.52,CO,1601788563
Maniitsoq,65.42,-52.9,31.55,87,14,4.61,GL,1601788789
Salaga,8.55,-0.52,73.56,94,100,3.8,GH,1601788789
Kahului,20.89,-156.47,82.4,61,40,16.11,US,1601788672
Quryq,43.2,51.65,64.94,28,0,14.36,KZ,1601788789
Shīeli,44.17,66.75,64.74,28,0,9.55,KZ,1601788790
Obo,5.4,26.49,69.85,93,94,0.98,CF,1601788790
Matara,5.95,80.54,83.98,71,44,15.52,LK,1601788790
Daru,-9.08,143.21,81.0,81,87,18.72,PG,1601788790
Viloco,-16.95,-67.55,42.15,83,11,3.58,BO,1601788791
Pulandian,39.4,121.97,57.2,38,20,17.9,CN,1601788791
Tezu,27.92,96.17,90.86,50,16,2.93,IN,1601788791
Savannah Bight,16.45,-85.85,84.43,70,97,6.31,HN,1601788791
Marawi,8.0,124.29,86.0,76,65,8.01,PH,1601788696
Port Lincoln,-34.73,135.87,51.6,87,100,26.93,AU,1601788792
Elmina,5.09,-1.35,75.34,90,22,6.53,GH,1601788792
Aswān,24.09,32.91,82.11,25,0,14.88,EG,1601788792
Gijang,35.24,129.21,77.0,61,75,10.29,KR,1601788793
Vysokogornyy,50.12,139.15,41.74,90,100,8.79,RU,1601788793
Saint-Pierre,-21.34,55.48,75.2,69,90,9.17,RE,1601788793
Quatre Cocos,-20.21,57.76,77.0,73,75,10.29,MU,1601788793
Itoman,26.12,127.67,86.0,62,20,12.75,JP,1601788794
Lorengau,-2.02,147.27,85.5,69,89,10.09,PG,1601788794
The Valley,18.22,-63.06,82.4,78,20,8.05,AI,1601788724
Neryungri,56.67,124.65,35.53,78,96,11.45,RU,1601788794
Avera,33.19,-82.53,55.4,93,1,4.7,US,1601788794
Muroto-misakicho,33.28,134.15,77.0,73,75,9.17,JP,1601788795
Mānsa,29.98,75.38,92.98,16,0,0.63,IN,1601788795
Alice Springs,-23.7,133.88,87.8,29,75,19.46,AU,1601788640
Buraidah,26.33,43.98,71.6,43,0,2.24,SA,1601788795
Songjianghe,42.19,127.48,40.66,83,100,7.4,CN,1601788796
Jaen,38.0,-3.5,52.0,73,0,5.01,ES,1601788796
Ilhabela,-23.78,-45.36,71.8,90,100,10.96,BR,1601788796
São Félix do Xingu,-6.64,-51.99,77.74,54,30,1.83,BR,1601788797
Pimentel,-6.84,-79.93,61.9,90,100,10.54,PE,1601788797
Port Pirie,-33.18,138.02,60.8,93,90,14.99,AU,1601788797
Bukama,-9.2,25.85,76.21,63,0,1.32,CD,1601788798
Gubkinskiy,64.43,76.5,33.53,89,100,26.42,RU,1601788798
Monte Patria,-30.69,-70.95,48.69,52,34,0.85,CL,1601788798
Olafsvik,64.89,-23.71,42.58,83,98,9.08,IS,1601788798
Bakchar,57.02,82.07,44.13,94,100,4.74,RU,1601788799
Pinawa,50.15,-95.88,35.38,88,60,3.49,CA,1601788799
Westport,41.14,-73.36,51.8,76,1,5.82,US,1601788799
Honningsvåg,70.98,25.97,47.41,80,1,7.52,NO,1601788800
Broken Hill,-31.95,141.43,93.2,14,40,23.04,AU,1601788800
Tabriz,38.08,46.29,62.6,55,40,11.41,IR,1601788743
Inhambane,-23.86,35.38,77.0,88,40,6.93,MZ,1601788801
Severo-Yeniseyskiy,60.37,93.04,42.87,87,100,11.74,RU,1601788801
Serowe,-22.38,26.72,67.03,73,37,10.11,BW,1601788801
Pangnirtung,66.15,-65.71,25.63,93,82,1.3,CA,1601788802
Aykhal,66.0,111.5,32.0,94,90,6.71,RU,1601788802
Ponta do Sol,32.67,-17.1,69.8,73,40,12.75,PT,1601788693
Trofors,65.53,13.41,53.6,71,42,17.22,NO,1601788803
Clonakilty,51.62,-8.87,46.4,87,75,13.87,IE,1601788803
Nefteyugansk,61.1,72.6,33.8,69,75,15.66,RU,1601788539
Auch,43.65,0.58,55.0,79,97,3.0,FR,1601788804
Riyadh,24.69,46.72,77.0,36,0,3.83,SA,1601788542
Buin,-33.73,-70.75,46.99,84,43,9.17,CL,1601788804
Ulladulla,-35.35,150.47,86.0,35,55,12.75,AU,1601788804
Husavik,66.04,-17.34,37.4,100,90,3.36,IS,1601788805
Beringovskiy,63.05,179.32,33.84,92,100,14.05,RU,1601788805
Gorontalo,0.54,123.06,86.2,66,100,4.63,ID,1601788704
Bogdăneşti,47.37,26.28,55.99,93,73,10.29,RO,1601788806
Sola,-13.88,167.55,79.2,80,1,19.44,VU,1601788806
Pastavy,55.12,26.83,56.28,81,100,16.91,BY,1601788806
Shelburne,44.08,-80.2,41.0,100,75,0.94,CA,1601788512
Rio Grande,-32.03,-52.1,55.99,78,84,5.01,BR,1601788807
Chui,-33.7,-53.46,51.37,77,82,10.18,UY,1601788807
Bima,-8.47,118.72,94.82,32,76,11.14,ID,1601788808
Soyo,-6.13,12.37,75.65,82,100,7.9,AO,1601788808
Padilla,3.22,-76.31,69.8,94,75,6.93,CO,1601788808
Lida,53.88,25.3,58.87,79,100,16.69,BY,1601788809
Lobito,-12.35,13.55,70.56,87,9,2.24,AO,1601788809
Āgaro,7.85,36.65,63.41,87,54,0.6,ET,1601788810
Sainte-Ode,50.03,5.53,48.99,58,100,1.99,BE,1601788810
Tougan,13.07,-3.07,77.52,74,81,3.22,BF,1601788810
Bandarbeyla,9.49,50.81,81.55,72,35,14.18,SO,1601788712
Yulara,-25.24,130.99,68.0,72,40,9.17,AU,1601788715
Maceió,-9.67,-35.74,73.4,94,75,4.7,BR,1601788520
Yelets,52.62,38.5,50.4,46,2,8.48,RU,1601788811
Bud,39.45,-86.18,53.01,76,90,3.58,US,1601788812
